Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
2024-01-02,343.2755126953125,350.08570368515996,337.0501820548259,348.2617247349704,19042200
2024-01-03,341.4713439941406,344.92106102147176,340.192565145366,341.97691405684844,15451100
2024-01-04,344.0982971191406,345.11932970434566,340.41067870668667,341.501109198634,12099900
2024-01-05,348.88623046875,350.42272536747254,343.24576041821206,343.96938628900244,13920700
2024-01-08,355.53778076171875,355.8550023440489,348.9853066945852,351.61226199910743,13890200
2024-01-09,354.31854248046875,357.500621013295,352.266554698049,353.2975099042569,13463900
2024-01-10,367.2449951171875,369.69349454560995,355.9541325367698,357.0346705179699,22117200
2024-01-11,366.4520263671875,369.53493921555446,359.77067767079683,368.8906035328076,17205400
2024-01-12,371.23004150390625,373.7776768226446,366.3231495817238,366.93774761928864,19310000
2024-01-16,364.26123046875,372.3402781857288,364.0332519935997,370.3973485723364,15306900
2024-01-17,365.1632385253906,365.3317719420293,355.4881921825926,363.1112511531766,12724800
2024-01-18,372.855712890625,373.5694463469894,367.72081315695874,368.25609056029504,16354300
2024-01-19,380.1120300292969,381.0140817393726,374.6797232506199,375.70075575671575,21670800
2024-01-22,378.4565734863281,386.95197821430475,377.8419754760099,384.57287645581624,17680500
2024-01-23,381.8467712402344,384.9990814617669,378.75390603497135,381.2718033118794,15506100
2024-01-24,387.2989196777344,392.70145859414,384.4340629686961,386.60500116462015,15698500
2024-01-25,389.75726318359375,392.0471516396951,382.3027375420606,386.7734865525037,15091100
2024-01-26,390.708984375,393.3359097959545,388.18116424199445,390.91714783237995,13163700
2024-01-29,397.5290222167969,399.42239887888377,389.6779844917402,391.55151589697937,18742400
2024-01-30,396.5774841308594,402.82263066947263,396.09175925063397,400.0767543488809,18614700
2024-01-31,386.74383544921875,394.53539941934156,383.73029025949774,385.6137446586027,20180800
2024-02-01,391.3433837890625,397.01359160077834,389.6284327898342,390.51069973653455,29727100
2024-02-02,470.8551025390625,481.72960759353555,449.066462419903,455.5990914546295,84707600
2024-02-05,455.4107666015625,467.7920294868746,455.2224181615912,465.7896247984481,40832400
2024-02-06,450.7616271972656,463.0536781539214,449.056598724922,459.9608428440702,21655200
2024-02-07,465.50213623046875,467.415327994543,452.2088689116338,454.01303276517825,23066000
2024-02-08,465.9085388183594,466.4933990985611,460.98180263396944,464.2431708762343,18815100
2024-02-09,464.03497314453125,469.4672792914781,463.4005602324606,468.83286637940745,18413100
2024-02-12,464.81817626953125,474.9789490756288,462.5183648227148,464.1143653554513,19382000
2024-02-13,456.11456298828125,463.81694302069843,451.12835130568254,452.892854856831,20916600
2024-02-14,469.1600036621094,469.9827650386476,462.03259160066335,463.85657040992965,16858400
2024-02-15,479.81640625,484.3664456134725,468.109217437991,471.1425770136393,24212300
2024-02-16,469.1996154785156,474.79050186522073,465.12537852345184,473.94789531837614,23324600
2024-02-20,467.64337158203125,472.0348007521129,462.49854860329634,465.63104413431995,18015500
2024-02-21,464.4480285644531,465.41060608263723,458.25579479701133,462.9297393124739,12921800
2024-02-22,482.4094543457031,486.2398976603028,472.416516880951,476.56451837363556,21625800
2024-02-23,480.3255615234375,490.57648938610384,478.65842637192833,484.31478426826664,18374300
2024-02-26,478.0530700683594,482.41941959747976,476.92181062419036,479.7698406915825,12101400
2024-02-27,483.32244873046875,483.5407662161046,476.2470421891275,476.3065805684811,10809600
2024-02-28,480.3155822753906,487.2917775435945,479.0553130170317,481.2880928291256,12715500
2024-02-29,486.37890625,487.936897879875,478.916439479653,484.7018378583035,17732000
2024-03-01,498.4556884765625,500.3907764734073,488.0856846060254,488.34367413066025,16273600
2024-03-04,494.37713623046875,500.55946621503625,492.6206937176718,499.150320771788,12324100
2024-03-05,486.46820068359375,491.7871644614326,484.15604619661946,491.21161670016596,15325300
2024-03-06,492.2932434082031,499.120593170195,490.50703156108455,493.8214657207925,11757900
2024-03-07,508.2700500488281,515.8713989915751,497.5427848270461,499.42823746816646,18586400
2024-03-08,502.07781982421875,519.5629636532714,495.52832561465306,510.2547468573878,18597100
2024-03-11,479.888916015625,493.51384651254926,472.3570085263561,493.2062214717345,20428300
2024-03-12,495.92523193359375,498.46563690206807,481.0201963453091,489.48491194914317,15448200
2024-03-13,491.7772521972656,497.14585137802413,487.27198978393096,491.59863706276775,12090700
2024-03-14,488.0657958984375,497.51295454338015,484.42390097766923,496.43130042569084,12620000
2024-03-15,480.39501953125,488.0658397573239,477.61643073962875,485.2674452189563,29153600
2024-03-18,493.1764221191406,493.61305704404583,483.08424391414707,488.14521760990164,11755300
2024-03-19,492.44207763671875,492.82910735533255,477.59658066238825,484.4338634191074,10903100
2024-03-20,501.6510314941406,504.31054334054676,491.38026863320005,495.677115993422,11711100
2024-03-21,503.8739929199219,511.0982457279674,502.1373861162138,510.7708149111131,9712500
2024-03-22,505.67999267578125,506.06702240568086,500.4801059197025,503.11975164327384,8120600
2024-03-25,499.17022705078125,503.3380953120619,496.41150443106284,501.9190467966136,8380600
2024-03-26,492.0948486328125,506.0968468595986,491.4200298211447,501.26412299091186,11205400
2024-03-27,490.0802917480469,496.0641709946274,484.3346265696149,495.47865983348026,9989700
2024-03-28,481.8636474609375,489.1177289495324,481.436945692201,489.0680934492514,15212800
2024-04-01,487.58953857421875,493.62299295598973,478.0927737479156,483.4713059825083,9247000
2024-04-02,493.5634460449219,493.7222251422253,480.94079550745505,481.3873636113719,11081000
2024-04-03,502.8617248535156,503.3578981717305,494.9328849193272,495.11150004572073,12099200
2024-04-04,507.0097351074219,525.9436947950782,506.6723106155449,512.4676110901486,26476300
2024-04-05,523.3041381835938,526.638408576823,510.47304198515513,512.9043035265651,19263300
2024-04-08,515.2759399414062,527.4222518776436,514.9187097239936,525.2292047918388,13260600
2024-04-09,512.9440307617188,521.8453515412855,502.8617544246005,518.2331950359386,10863800
2024-04-10,515.8515625,518.5606494016819,501.928910292975,505.3922206037786,11418500
2024-04-11,519.1561889648438,519.8508439237215,513.3311173792555,517.1218898887405,10369500
2024-04-12,507.9822692871094,516.2088319033819,505.4319310018834,513.7875035345007,11984500
2024-04-15,496.4015808105469,514.5615428654139,493.4741460488993,512.7653372648631,13512900
2024-04-16,495.9351501464844,500.90678605584037,493.30540740997316,494.29775401725584,9847900
2024-04-17,490.3880310058594,499.3092190383294,483.4118342199791,499.2496806531088,12193700
2024-04-18,497.9595031738281,508.28986501966875,495.2206471982187,495.99467632150186,14808700
2024-04-19,477.3882141113281,498.95188761147057,472.08908659081203,498.95188761147057,25215400
2024-04-22,478.0431823730469,488.24450514549414,469.7769174777012,485.97202274350616,17271100
2024-04-23,492.30316162109375,494.9428072503399,485.2277254126733,487.4902744828821,15079200
2024-04-24,489.7230529785156,506.0967720750617,480.8713078752949,504.17161722523144,37772700
2024-04-25,438.00201416015625,442.35840065292007,411.32772862601064,418.1749151567085,82890700
2024-04-26,439.89739990234375,443.0232861124123,428.654094250066,438.08138838825266,32691400
2024-04-29,429.3089904785156,436.3943598912081,425.28006561859786,436.195878453334,21502600
2024-04-30,426.8777770996094,436.2554348890997,426.43120898791216,427.7510167239678,18429500
2024-05-01,435.8287353515625,446.51629805901524,423.84117064830116,425.31978777610783,20344900
2024-05-02,438.2996520996094,440.562201203768,428.9715998380439,435.48139130558843,15221300
2024-05-03,448.5009460449219,450.69405376298613,440.453029921028,442.51709745589653,16489100
2024-05-06,462.1159973144531,462.59233462582085,449.87044284737243,452.0932897323867,15094600
