Price,Close,High,Low,Open,Volume
Ticker,QS,QS,QS,QS,QS
2024-01-02,6.699999809265137,6.920000076293945,6.619999885559082,6.809999942779541,5054200
2024-01-03,6.5,6.639999866485596,6.360000133514404,6.570000171661377,6244500
2024-01-04,9.300000190734863,10.029999732971191,7.045000076293945,7.150000095367432,110024400
2024-01-05,8.699999809265137,9.430000305175781,8.3100004196167,9.270000457763672,48084900
2024-01-08,8.829999923706055,9.149999618530273,8.3100004196167,8.65999984741211,23359600
2024-01-09,8.529999732971191,9.65999984741211,8.460000038146973,8.720000267028809,32874600
2024-01-10,8.300000190734863,8.739999771118164,8.130000114440918,8.600000381469727,13540200
2024-01-11,8.100000381469727,8.319999694824219,7.860000133514404,8.279999732971191,11109700
2024-01-12,7.369999885559082,7.934999942779541,7.28000020980835,7.829999923706055,16589000
2024-01-16,6.96999979019165,7.349999904632568,6.929999828338623,7.210000038146973,11885100
2024-01-17,6.650000095367432,6.829999923706055,6.559999942779541,6.760000228881836,10152000
2024-01-18,6.610000133514404,6.801000118255615,6.400000095367432,6.78000020980835,9409900
2024-01-19,6.550000190734863,6.619999885559082,6.349999904632568,6.550000190734863,6854300
2024-01-22,6.920000076293945,7.050000190734863,6.559999942779541,6.590000152587891,11234300
2024-01-23,7.03000020980835,7.269999980926514,6.880000114440918,7.070000171661377,8571600
2024-01-24,6.650000095367432,7.239999771118164,6.610000133514404,7.179999828338623,7382500
2024-01-25,6.650000095367432,6.756999969482422,6.510000228881836,6.610000133514404,5682300
2024-01-26,6.630000114440918,6.840000152587891,6.610000133514404,6.699999809265137,4016900
2024-01-29,7.179999828338623,7.239999771118164,6.559999942779541,6.659999847412109,13099100
2024-01-30,7.039999961853027,7.15500020980835,6.960000038146973,7.099999904632568,5678000
2024-01-31,6.809999942779541,7.260000228881836,6.800000190734863,7.0,7949000
2024-02-01,6.96999979019165,7.039999961853027,6.75,6.909999847412109,6047500
2024-02-02,6.940000057220459,7.0,6.760000228881836,6.889999866485596,4119100
2024-02-05,6.760000228881836,6.90500020980835,6.559999942779541,6.829999923706055,6201000
2024-02-06,7.389999866485596,7.400000095367432,6.739999771118164,6.78000020980835,6739400
2024-02-07,7.289999961853027,7.449999809265137,7.114999771118164,7.389999866485596,5168800
2024-02-08,7.5,7.619999885559082,7.244999885559082,7.289999961853027,6449700
2024-02-09,7.53000020980835,7.670000076293945,7.349999904632568,7.5,7007600
2024-02-12,7.880000114440918,8.0600004196167,7.46999979019165,7.5,8043900
2024-02-13,7.480000019073486,7.739999771118164,7.389999866485596,7.539999961853027,6264500
2024-02-14,7.670000076293945,7.880000114440918,7.519999980926514,7.639999866485596,8945900
2024-02-15,7.21999979019165,7.699999809265137,6.889999866485596,7.449999809265137,13470300
2024-02-16,7.0,7.244999885559082,6.880000114440918,7.099999904632568,8902900
2024-02-20,6.53000020980835,6.840000152587891,6.460000038146973,6.840000152587891,10367500
2024-02-21,6.449999809265137,6.639999866485596,6.380000114440918,6.5,6143600
2024-02-22,6.210000038146973,6.449999809265137,6.130000114440918,6.440000057220459,8672500
2024-02-23,6.039999961853027,6.320000171661377,6.014999866485596,6.269999980926514,6359000
2024-02-26,6.190000057220459,6.239999771118164,6.0,6.050000190734863,6255800
2024-02-27,6.159999847412109,6.468999862670898,6.070000171661377,6.289999961853027,10861000
