Short MA,Long MA,Return %
20,80,125.88012349107096
20,60,99.03812909429617
40,60,98.08782977936286
10,80,95.89157196349709
10,100,89.8697151467849
30,80,86.82908165897345
20,100,84.73290557390236
30,60,82.30243342152421
10,60,76.30376087168595
30,100,73.58465934430032
40,100,69.91284954805353
40,80,60.8239560082636
10,120,52.377187995905786
20,120,52.082186290058715
50,60,44.683512841537734
30,120,35.64105723520965
50,120,34.47717125895722
40,150,23.475354082030076
50,100,21.726466487726203
50,80,20.316654050590245
50,150,18.108011084554153
20,150,15.53041002918063
40,120,12.390814224598024
10,150,10.084662732701055
30,150,8.599590241250832
